Zone,Disponibilité alimentaire (Kcal/personne/jour),Balance Commerciale/kg/personne/an,Exportations - Quantité/kg/personne/an,Importations - Quantité/kg/personne/an,Production/kg/personne/an,Variation de stock/kg/personne/an,Population total,"Pib Per hab (2018, $)",Stabilité politique/personne/an
Afghanistan,5.0,-0.78015876553703,0.0,0.78015876553703,0.7532567391392013,0.0,37171921.0,502.06,-0.0739805725940287
Afrique du Sud,143.0,-7.803778336842842,1.090106508250774,8.893884845093616,28.84456427387365,0.0,57792518.0,7048.52,-0.004844917814447884
Albanie,85.0,-13.181903328083699,0.0,13.181903328083699,4.509598506976002,1.3875687713772313,2882740.0,5287.66,0.131819033280837
Algérie,22.0,-0.0473614823461969,0.0,0.0473614823461969,6.512203822602074,0.0,42228408.0,4171.8,-0.018707785526747775
Allemagne,71.0,-2.357911245766557,7.771482983495896,10.129394229262454,18.213661357604934,-0.348874623098113,83124418.0,47939.28,0.0072180956503057865
Angola,35.0,-8.990649627016246,0.0,8.990649627016246,1.3632031925439796,0.0,30809787.0,2487.5,-0.01038631003843032
Antigua-et-Barbuda,233.0,-72.7000810086617,0.0,72.7000810086617,0.0,0.0,96286.0,17527.17,7.581579876617576
Arabie saoudite,151.0,-21.12586875684588,0.296711639843341,21.42258039668922,18.277437014349804,-3.2044857103080826,33702756.0,23318.74,-0.015429005271853731
Argentine,182.0,4.485907150738878,4.666245126647979,0.18033797590910064,48.71379574244581,0.0,44361150.0,11795.16,0.0004508449397727516
Arménie,54.0,-11.857392830342729,0.0,11.857392830342729,3.726609175250572,-0.6775653045910132,2951745.0,4391.92,-0.14228871396411275
Australie,192.0,1.044254208103477,1.6868721823210011,0.6426179742175242,50.967638080127394,2.851617260590264,24898152.0,57207.87,0.03936035092082336
Autriche,65.0,-3.5989881444831786,8.772533602177747,12.371521746660926,16.6453201682347,0.8997470361207947,8891388.0,51466.56,0.10347090915389139
Azerbaïdjan,44.0,-2.713694114610559,0.0,2.713694114610559,10.452747700722155,0.20101437886004142,9949537.0,4739.84,-0.0703550326010145
Bahamas,182.0,-62.234692210550335,0.0,62.234692210550335,15.558673052637584,10.372448701758389,385637.0,31738.27,2.2560075926324497
Bangladesh,7.0,0.0,0.0,0.0,1.5429735993870937,0.0,161376708.0,1963.41,-0.006382581555697616
Barbade,199.0,-6.977368903960006,0.0,6.977368903960006,52.33026677970004,0.0,286641.0,18224.89,3.209589695821603
