Zone;Pib Per hab (2018, $)
Aruba;30220.5945232395
Afghanistan;502.056770622973
Angola;2487.50099555267
Albanie;5287.66369446913
Andorre;42903.4435794631
Le monde arabe;6474.29534015992
Émirats arabes unis;46722.2687183733
Argentine;11795.1593866287
Arménie;4391.92369729686
Samoa américaines;13195.9358995539
Antigua-et-Barbuda;17527.1696291931
Australie;57207.8715094806
Autriche;51466.5565633634
Azerbaïdjan;4739.84171028393
Burundi;231.446476548394
Belgique;47544.9811472757
Bénin;1194.43821427144
Burkina Faso;779.202709700092
Bangladesh;1963.41185467584
Bulgarie;9446.71709419731
Bahreïn;25415.8466249472
Bahamas;31738.2671569969
Bosnie-Herzégovine;5936.10150173874
Bélarus;6360.06247301284
Belize;6059.16255306675
Bermudes;113050.73688163
Bolivie (État plurinational de);3471.00695064499
Brésil;9121.08340257783
Barbade;18224.8905923744
Brunéi Darussalam;31241.4539554095
Bhoutan;3210.70626919782
Botswana;6947.80081217637
République centrafricaine;435.932263645028
Canada;46548.6384108296
Europe centrale et les pays baltes;16086.3182550395
Suisse;85217.3691512274
Chili;15795.7084630954
Chine, continentale;9905.34200388822
Côte d'Ivoire;2275.4959502948
Cameroun;1594.05998970315
Congo, République démocratique du;546.212593877879
Congo;2512.38397871635
Colombie;6782.03792033195
Comores;1531.33797185868
Cabo Verde;3442.74200302219
Costa Rica;12383.1499737386
Petits états des Caraïbes;10353.116449379
Cuba;8831.90722233737
Curacao;18956.0979741907
Îles Caïmans;85234.8427208773
Chypre;29418.935546875
Tchéquie;23424.4804601855
Allemagne;47939.2782884504
Djibouti;2755.83829341814
Dominique;7833.19501250117
Danemark;61591.9288698958
République dominicaine;7947.15820732109
Algérie;4171.79501086373
Asie de l’Est et Pacifique (hors revenu élevé);7944.55123362633
de dividende précoce démographique;3467.17819752254
Asie de l’Est et Pacifique;11310.4988757878
Europe et Asie centrale (hors revenu élevé);7994.78016760654
Europe et Asie centrale;25243.7947296066
Équateur;6321.34940071717
Égypte;2407.08654343598
Zone euro;40045.5660233161
Espagne;30379.7211126422
Estonie;23165.8494786437
Éthiopie;758.299059582623
Union européenne;35751.2199668968
Fragile et les situations de conflit touchées;1847.07640048575
Finlande;49987.6261584968
Fidji;6073.33638842434
France;41557.8548588876
Îles Féroé;62576.9899253899
