Zone,Disponibilité alimentaire (Kcal/personne/jour),Balance Commerciale,Exportations - Quantité,Importations - Quantité,Production,Variation de stock,Population total,"Pib Per hab (2018, $)",Stabilité politique
Afghanistan,5.0,-29.0,0.0,29.0,28.0,0.0,37171921.0,502.06,-2.75
Afrique du Sud,143.0,-451.0,63.0,514.0,1667.0,0.0,57792518.0,7048.52,-0.28
Albanie,85.0,-38.0,0.0,38.0,13.0,4.0,2882740.0,5287.66,0.38
Algérie,22.0,-2.0,0.0,2.0,275.0,0.0,42228408.0,4171.8,-0.79
Allemagne,71.0,-196.0,646.0,842.0,1514.0,-29.0,83124418.0,47939.28,0.6
Angola,35.0,-277.0,0.0,277.0,42.0,0.0,30809787.0,2487.5,-0.32
Antigua-et-Barbuda,233.0,-7.0,0.0,7.0,0.0,0.0,96286.0,17527.17,0.73
Arabie saoudite,151.0,-712.0,10.0,722.0,616.0,-108.0,33702756.0,23318.74,-0.52
Argentine,182.0,199.0,207.0,8.0,2161.0,0.0,44361150.0,11795.16,0.02
Arménie,54.0,-35.0,0.0,35.0,11.0,-2.0,2951745.0,4391.92,-0.42
Australie,192.0,26.0,42.0,16.0,1269.0,71.0,24898152.0,57207.87,0.98
Autriche,65.0,-32.0,78.0,110.0,148.0,8.0,8891388.0,51466.56,0.92
Azerbaïdjan,44.0,-27.0,0.0,27.0,104.0,2.0,9949537.0,4739.84,-0.7
Bahamas,182.0,-24.0,0.0,24.0,6.0,4.0,385637.0,31738.27,0.87
Bangladesh,7.0,0.0,0.0,0.0,249.0,0.0,161376708.0,1963.41,-1.03
Barbade,199.0,-2.0,0.0,2.0,15.0,0.0,286641.0,18224.89,0.92
Belgique,44.0,318.0,656.0,338.0,463.0,-6.0,11482178.0,47544.98,0.41
Belize,110.0,0.0,0.0,0.0,20.0,1.0,383071.0,6059.16,0.02
Bolivie (État plurinational de),155.0,0.0,1.0,1.0,533.0,103.0,11353142.0,3471.01,-0.24
Bosnie-Herzégovine,56.0,-2.0,8.0,10.0,61.0,8.0,3323925.0,5936.1,-0.39
Botswana,12.0,-3.0,0.0,3.0,5.0,0.0,2254068.0,6947.8,0.98
Brésil,204.0,4220.0,4223.0,3.0,14201.0,0.0,209469323.0,9121.08,-0.36
Bulgarie,81.0,-63.0,45.0,108.0,107.0,13.0,7051608.0,9446.72,0.42
Burkina Faso,8.0,0.0,0.0,0.0,46.0,0.0,19751466.0,779.2,-1.04
Bélarus,95.0,131.0,152.0,21.0,463.0,67.0,9452617.0,6360.06,0.35
Bénin,37.0,-123.0,0.0,123.0,18.0,-20.0,11485044.0,1194.44,-0.13
Cabo Verde,62.0,-12.0,0.0,12.0,1.0,4.0,543767.0,3442.74,0.75
Cambodge,11.0,-10.0,0.0,10.0,28.0,0.0,16249792.0,1533.32,0.11
Cameroun,11.0,0.0,0.0,0.0,81.0,0.0,25216267.0,1594.06,-1.38
Canada,154.0,-19.0,163.0,182.0,1417.0,3.0,37074562.0,46548.64,0.99
Chili,153.0,-40.0,115.0,155.0,712.0,80.0,18729160.0,15795.71,0.43
Chine - RAS de Hong-Kong,210.0,-244.0,663.0,907.0,24.0,-12.0,7371730.0,48537.57,0.79
Chine - RAS de Macao,142.0,-23.0,0.0,23.0,3.0,8.0,631636.0,84923.39,1.26
"Chine, Taiwan Province de",126.0,-153.0,8.0,161.0,652.0,20.0,23726460.0,25826.0,0.85
"Chine, continentale",59.0,124.0,576.0,452.0,18236.0,-50.0,1427647786.0,9905.34,-0.26
Chypre,91.0,-13.0,1.0,14.0,25.0,0.0,1189265.0,29418.94,0.54
Colombie,111.0,-76.0,2.0,78.0,1564.0,-4.0,49661048.0,6782.04,-0.81
Congo,72.0,-104.0,0.0,104.0,7.0,0.0,5244359.0,2512.38,-0.44
Costa Rica,92.0,-14.0,3.0,17.0,133.0,13.0,4999441.0,12383.15,0.49
Croatie,37.0,-7.0,17.0,24.0,61.0,22.0,4156404.9999999995,15244.43,0.77
Cuba,82.0,-312.0,0.0,312.0,29.0,-1.0,11338134.0,8831.91,0.65
Côte d'Ivoire,8.0,-7.0,0.0,7.0,58.0,0.0,25069230.0,2275.5,-0.93
Danemark,112.0,6.0,139.0,133.0,173.0,0.0,5752126.0,61591.93,0.96
Djibouti,9.0,-3.0,0.0,3.0,0.0,0.0,958923.0,2755.84,-0.13
Dominique,150.0,-4.0,0.0,4.0,0.0,0.0,71625.0,7833.2,1.11
El Salvador,71.0,-14.0,2.0,16.0,136.0,20.0,6420746.0,4145.86,-0.33
Espagne,105.0,7.0,212.0,205.0,1515.0,11.0,46692858.0,30379.72,0.25
Estonie,86.0,-10.0,11.0,21.0,20.0,2.0,1322920.0,23165.85,0.6
Eswatini,22.0,-2.0,0.0,2.0,6.0,0.0,1136281.0,4020.27,-0.31
Fidji,97.0,-3.0,0.0,3.0,23.0,1.0,883483.0,6073.34,0.74
Finlande,68.0,-4.0,12.0,16.0,129.0,22.0,5522576.0,49987.63,0.92
France,92.0,-5.0,501.0,506.0,1750.0,183.0,64990511.0,41557.85,0.11
Fédération de Russie,104.0,-111.0,115.0,226.0,4444.0,-1.0,145734038.0,11287.36,-0.5
Gabon,99.0,-76.0,0.0,76.0,4.0,2.0,2119275.0,7694.91,-0.25
Gambie,12.0,-16.0,0.0,16.0,2.0,10.0,2280094.0,683.32,-0.03
Ghana,16.0,-151.0,0.0,151.0,60.0,0.0,29767102.0,2180.04,0.03
Grenade,192.0,-7.0,0.0,7.0,1.0,0.0,111454.0,9574.28,1.0
Grèce,53.0,-50.0,29.0,79.0,246.0,118.0,10522246.0,19756.99,0.09
